Name,University,Course,Intake,Status,GRE,English Test,English Score,CGPA,Work Experience,
753255,Arizona State University,Management Information System,Fall 2018 ,Applied,313,TOEFL,107,62%,6 months,
Ami0603,Arizona State University,Management Information System,Fall 2018 ,Applied,314,TOEFL,106,7.63 CGPA ,6 months,
Sonajan,Arizona State University,Management Information System,Fall 2018 ,Applied,314,ENG TEST,NA ,80.68%,48 months,
saniya264,Arizona State University,Management Information System,Fall 2018 ,Applied,307,TOEFL,109,62%,1 month,
Abhiraj29,Arizona State University,Management Information System,Fall 2018 ,Applied,290,IELTS,7.5,7 CGPA ,48 months,
apekshak95,Arizona State University,Management Information System,Fall 2018 ,Applied,306,TOEFL,90,8.2 CGPA ,24 months,
aryan29041995,Arizona State University,Management Information System,Fall 2017 ,Applied,310,TOEFL,100,8.96 CGPA ,2 months,
Ishita1302,Arizona State University,Management Information System,Fall 2017 ,Applied,309,TOEFL,88,7.69 CGPA ,16 months,
Freya,Arizona State University,Management Information System,Fall 2017 ,Applied,310,TOEFL,103,7.5 CGPA ,29 months,
Vineetb71,Arizona State University,Management Information System,Fall 2017 ,Applied,301,IELTS,6.5,65.23%,26 months,
Ragini123,Arizona State University,Management Information System,Fall 2017 ,Applied,305,TOEFL,89,8.86 CGPA ,17 months,
hshaikh,Arizona State University,Management Information System,Fall 2017 ,Applied,312,TOEFL,115,73%,33 months,
shashi2233,Arizona State University,Management Information System,Fall 2017 ,Applied,322,TOEFL,110,7.6 CGPA ,NA,
akruti,Arizona State University,Management Information System,Fall 2017 ,Applied,319,TOEFL,100,6.74 CGPA ,28 months,
NiteshShanbhag,Arizona State University,Management Information System,Fall 2017 ,Applied,311,ENG TEST,NA ,73%,25 months,
abhi4646,Arizona State University,Management Information System,Fall 2017 ,Applied,N.A. ,ENG TEST,NA ,63%,1 month,
taori,Arizona State University,Management Information System,Spring 2017 ,Applied,305,TOEFL,88,57.70%, 12 months,
xbblc671,Arizona State University,Management Information System,Fall 2016 ,Applied,307,TOEFL,87,70%,27 months,
Ashwini,Arizona State University,Management Information System,Fall 2016 ,Applied,306,TOEFL,92,71%,36 months,
lampard,Arizona State University,Management Information System,Fall 2016 ,Applied,320,TOEFL,100,68%,NA,
Nishigandha,Arizona State University,Management Information System,Fall 2019 ,Admit,N.A. ,ENG TEST,NA ,65.30%,18 months,
